resource_id,author,year,title,doi_isbn,journal,volume_pages
178,"Knowlton, N., Mat&#x000E9;, J. L., Guzm&#x000E1;n, H. M., Rowan, R., Jara, J.",1997,Direct evidence for reproductive isolation among the three species of the Montastraea annularis complex in Central America (Panam&#x000E1; and Honduras),10.1007/s002270050061,Marine Biology,"127, 705-711"
70,"Babcock, R. C., Heyward, A. J.",1986,Larval development of certain gamete-spawning scleractinian corals,10.1007/bf00298178,Coral Reefs,"5, 111-116"
81,"Ayre, D. J., Resing, J. M.",1986,Sexual and asexual production of planulae in reef corals,10.1007/bf00569126,Mar. Biol.,"90, 187-190"
78,"Wyers, S. C., Barnes, H. S., Smith, S. R.",1991,Spawning of hermatypic corals in Bermuda: a pilot study,10.1007/bf00026450,Hydrobiologia,"216-217, 109-116"
90,"Carroll, A., Harrison, P., Adjeroud, M.",2005,"Sexual reproduction of Acropora reef corals at Moorea, French Polynesia",10.1007/s00338-005-0057-6,Coral Reefs,"25, 93-97"
92,"Kružić, P., Žuljević, A., Nikolić, V.",2007,"Spawning of the colonial coral Cladocora caespitosa (Anthozoa, Scleractinia) in the Southern Adriatic Sea",10.1007/s00338-007-0334-7,Coral Reefs,"27, 337-341"
155,"Graham, E. M., Baird, A. H., Connolly, S. R.",2008,Survival dynamics of scleractinian coral larvae and implications for dispersal,10.1007/s00338-008-0361-z,Coral Reefs,"27, 529-539"
66,"Wallace, C. C.",1985,"Reproduction, recruitment and fragmentation in nine sympatric species of the coral genus Acropora",10.1007/BF00392585,Marine Biology,"88, 217-233"
75,"Shlesinger, Y., Goulet, T. L., Loya, Y.",1998,Reproductive patterns of scleractinian corals in the northern Red Sea,10.1007/s002270050433,Marine Biology,"132, 691-701"
67,"Baird, A. H., Pratchett, M. S., Gibson, D. J., Koziumi, N., Marquis, C. P.",2001,,10.1071/MF00144,Mar. Freshwater Res.,"52, 865"
48,"Baird, A. H., Guest, J. R., Willis, B. L.",2009,Systematic and Biogeographical Patterns in the Reproductive Biology of Scleractinian Corals,10.1146/annurev.ecolsys.110308.120220,Annu. Rev. Ecol. Evol. Syst.,"40, 551-571"
69,"Baird, A. H., Babcock, R. C.",2000,Morphological differences among three species of newly settled pocilloporid coral recruits,10.1007/pl00006955,Coral Reefs,"19, 179-183"
688,"Oren, U., Benayahu, Y., Lubinevsky, H., Loya, Y.",2001,Colony Integration during Regeneration in the Stony Coral Favia favus,10.2307/2680199,Ecology,"82, 802"
79,"Vollmer, S. V.",2002,Hybridization and the Evolution of Reef Coral Diversity,10.1126/science.1069524,Science,"296, 2023-2025"
80,"Wallace, C.",1994,Systematics of Coral Genus Acropora: Implications of the New Biological Findings for Species Concepts,10.1146/annurev.ecolsys.25.1.237,Annual Review of Ecology and Systematics,"25, 237-262"
87,"Vargas Ángel, B., Colley, S. B., Hoke, S. M., Thomas, J. D.",2005,"The reproductive seasonality and gametogenic cycle of Acropora cervicornis off Broward County, Florida, USA",10.1007/s00338-005-0070-9,Coral Reefs,"25, 110-122"
94,"Fadlallah, Y. H., Pearse, J. S.",1982,Sexual reproduction in solitary corals: Synchronous gametogenesis and broadcast spawning in Paracyathus stearnsii,10.1007/bf00397040,Mar. Biol.,"71, 233-239"
