id,author,year,title,resource_type,doi_isbn,journal,volume_pages,resource_notes,user_id,created_at,updated_at
50,Cairns SD,1989," A revision of the ahermatypic Scleractinia of the Philippine Islands and adjacent waters, Part 1: Fungiacyathidae, Micrabaciidae, Turbinoliinae, Guyniidae, and Flabellidae",paper,"",smithsonian contributions to zoology,"486, 136","",0,,
51,"Babcock RC, Willis BL, Simpson CJ",1994,Mass spawning of corals on a high-latitude coral-reef,paper,"",Coral reefs,13:161-69,"",0,,
52,"Wilson JR, Harrison PL",2003,Spawning patterns of scleractinian corals at the Solitary IslandsÃ¢â‚¬â€ùa high latitude coral community in eastern Australia,paper,"",Mar Ecol Prog Ser,260:115-23,"",0,,
53,"Glynn PW, Ault JS",2000,A biogeographic analysis and review of the far eastern Pacific coral reef region.,paper,"",Coral reefs,19:1-23,"",0,,
54,"Glynn PW, Colley SB, Gassman NJ, Black K, Cortes J, Mate JL.",1996,"Reef coral reproduction in the eastern Pacific: Costa Rica, Panama, and Galapagos Islands (Ecuador). 3. Agariciidae (Pavona gigantea and Gardineroseris planulata)",paper,"",Marine Biology,125:579-601,"",0,,
55,"Glynn PW, Colley SB, Eakin CM, Smith DB, Cortes J, et al.",1994,"Reef coral reproduction in the eastern Pacific: Costa Rica, Panama, and Galapagos Islands (Ecuador). 2. Poritidae.",paper,"",Marine Biology,118:191-208,"",0,,
56,"Babcock RC, Bull GD, Harrison PL, Heyward AJ, Oliver JK, et al. ",1986,Synchronous spawnings of 105 scleractinian coral species on the Great Barrier Reef.,paper,"",Marine Biology,90:379-94,"",0,,
57,"Willis BL, Babcock RC, Harrison PL, Oliver JK.",1985,Patterns in the mass spawning of corals on the Great Barrier Reef from 1981 to 1984. ,paper,"",Proc. 5th. Int. Coral Reef Symp,4:343-48,"",0,,
58,Simpson CJ,1985,"Mass spawning of scleractinian corals in the Dampier Archipelago and the implications for management of coral reefs in Western Australia. Rep. 244, Dep. Conserv. Environ. West. Aust. Bull., Perth",paper,"","Rep. 244, Dep. Conserv. Environ. West. Aust. Bull., Perth","","",0,,
59,"Harrison PL, Babcock RC, Bull GD, Oliver JK, Wallace CC, Willis BL.",1984,Mass spawning in tropical reef corals,paper,"",Science,223:1187-88,"",0,,
60,"Shlesinger Y, Loya Y",1985,Coral community reproductive patterns: Red Sea versus the Great Barrier Reef,paper,"",Science,228:1333-35,"",0,,
61,"Marshall PA, Baird AH",2000,Bleaching of corals on the Great Barrier Reef: differential susceptibilities among taxa,paper,http://link.springer.com/article/10.1007%2Fs003380000086,Coral Reefs,19: 155-163,bleaching episode 1998 study,1,,2014-02-25 22:49:40 UTC
62,"Nakamura T, van Woesik R",2001,Water-flow rates and passive diffusion partially explain differential survival of corals during the 1998 bleaching event ,paper,"",Mar Ecol Prog Ser,212: 301-304,"",0,,
63,"Berkelmans, R, Willis, BL",1999,Seasonal and local spatial patterns in the upper thermal limits of corals on the inshore Central Great Barrier Reef,paper,"",Coral Reefs,18: 219-228,"",0,,
64,"Glynn PW, Colley SB, Ting JH, Mate JL, Guzman HM",2000,"Reef coral reproduction, recruitment and recovery in the eastern Pacific:  Costa Rica, Panama and Galapagos Islands (Ecuador)",paper,"",Marine Biology,136: 785- 805,sp recovery Pavona varians Pavona sp.a,1,,2013-08-08 03:37:13 UTC
65,"Veron, J.E.N",2002,New species described in Ã¢â‚¬ËœCorals of the WorldÃ¢â‚¬â„¢,paper,"",Australian Institute of Marine Science Monograph series,"11, 205","",0,,
66,Wallace C,1985,"Reproduction, recruitment and fragmentation in nine sympatric species of the coral genus Acropora",paper,"",Marine Biology,88:217-233,"",1,,2013-08-08 03:50:56 UTC
67,"Baird A, Pratchett MS, Gibson DJ, Koziumi N, Marquis CP",2001,Variable palatability of coral eggs to a planktivorous fish,paper,"",Marine and fresh water research,"52, 865-868","",0,,
68,"Baird A, Babcock R.C,  Mundy C.P",2003,Habitat selection by larvae influences the depth distribution of six common coral species,paper,"",Mar Ecol Prog Ser,252: 289-293,"",0,,
69,"Baird A, Babcock RC",2000,Morphological differences among three species of newly settled pocilloporid coral recruits,paper,"",Coral reefs,19:179-183,"",0,,
70,"Babcock RC, Heyward AJ",1986,Larval development of certain gamete spawning scleractinians.,paper,"",Coral reefs,5: 111-116,"",0,,
